script,workload,num_ops,data_size,time_seconds
cassandra_benchmarking,read,1000,10,1.3113
cassandra_benchmarking,read,1000,100,1.2978
cassandra_benchmarking,read,1000,500,1.3024
cassandra_benchmarking,read,1000,1000,1.3914
cassandra_benchmarking,read,1000,5000,1.3850
cassandra_benchmarking,read,1000,15000,1.2967
cassandra_benchmarking,read,1000,50000,1.3742
cassandra_benchmarking,read,1000,100000,1.6464
cassandra_benchmarking,write,1000,10,1.0429
cassandra_benchmarking,write,1000,100,1.1494
cassandra_benchmarking,write,1000,500,1.1101
cassandra_benchmarking,write,1000,1000,1.1860
cassandra_benchmarking,write,1000,5000,1.4453
cassandra_benchmarking,write,1000,15000,2.0314
cassandra_benchmarking,write,1000,50000,7.6971
cassandra_benchmarking,write,1000,100000,7.2161
cassandra_benchmarking,mixed,1000,10,1.2110
cassandra_benchmarking,mixed,1000,100,1.1748
cassandra_benchmarking,mixed,1000,500,1.2104
cassandra_benchmarking,mixed,1000,1000,1.2306
cassandra_benchmarking,mixed,1000,5000,1.3643
cassandra_benchmarking,mixed,1000,15000,1.8796
cassandra_benchmarking,mixed,1000,50000,4.5242
cassandra_benchmarking,mixed,1000,100000,5.0850
